timeOpen;timeClose;timeHigh;timeLow;priceOpen;priceHigh;priceLow;priceClose;volume
1,70689E+12;1,70698E+12;1,70691E+12;1,70689E+12;0,001278573;0,001299836;0,001278573;0,001299836;185,76
1,7068E+12;1,70689E+12;1,70683E+12;1,7068E+12;0,001259255;0,001287234;0,001259255;0,001278573;119,24
1,70672E+12;1,7068E+12;1,70672E+12;1,70674E+12;0,001320915;0,001320915;0,001259255;0,001259255;131,23
1,70663E+12;1,70672E+12;1,70669E+12;1,70666E+12;0,001282703;0,001320915;0,001256341;0,001320915;21,57
1,70654E+12;1,70663E+12;1,70654E+12;1,70658E+12;0,001290822;0,001290822;0,001282703;0,001282703;937,3
1,70646E+12;1,70654E+12;1,70651E+12;1,70651E+12;0,001318869;0,001318869;0,001290822;0,001290822;424,3
1,70637E+12;1,70646E+12;1,70637E+12;1,70645E+12;0,001320251;0,001320251;0,001318869;0,001318869;131,89
1,70628E+12;1,70637E+12;1,70628E+12;1,70635E+12;0,001327774;0,001327774;0,001316157;0,001320251;202,54
1,7062E+12;1,70628E+12;1,70624E+12;1,7062E+12;0,001300547;0,001356631;0,001300547;0,001327774;490,48
1,70611E+12;1,7062E+12;1,70617E+12;1,70615E+12;0,001235824;0,001300547;0,001220761;0,001300547;1242,34
1,70603E+12;1,70611E+12;1,70603E+12;1,70603E+12;0,001235824;0,001235824;0,001235824;0,001235824;0
1,70594E+12;1,70603E+12;1,70594E+12;1,706E+12;0,001285222;0,001285222;0,001235824;0,001235824;154,8
1,70585E+12;1,70594E+12;1,70585E+12;1,70592E+12;0,001471704;0,001471704;0,001285222;0,001285222;2345,41
1,70577E+12;1,70585E+12;1,70584E+12;1,70577E+12;0,001467918;0,001488331;0,001467918;0,001471704;102,35
1,70568E+12;1,70577E+12;1,70576E+12;1,70568E+12;0,001446916;0,001467918;0,001446916;0,001467918;459,06
1,70559E+12;1,70568E+12;1,70564E+12;1,70561E+12;0,001450473;0,001458693;0,0014365;0,001446916;157,62
1,70551E+12;1,70559E+12;1,70558E+12;1,70551E+12;0,00144103;0,001464771;0,00144103;0,001450473;539,48
1,70542E+12;1,70551E+12;1,70542E+12;1,70549E+12;0,001572954;0,001572954;0,00144103;0,00144103;1138,86
1,70533E+12;1,70542E+12;1,70541E+12;1,70533E+12;0,001506073;0,001572954;0,001506073;0,001572954;15,7
1,70525E+12;1,70533E+12;1,70525E+12;1,70525E+12;0,001506073;0,001506073;0,001506073;0,001506073;0
1,70516E+12;1,70525E+12;1,70516E+12;1,70516E+12;0,001506073;0,001506073;0,001506073;0,001506073;0
1,70508E+12;1,70516E+12;1,70508E+12;1,70508E+12;0,001538405;0,001538405;0,001474136;0,001506073;26,71
1,70499E+12;1,70508E+12;1,70501E+12;1,70499E+12;0,001538405;0,001538405;0,001538405;0,001538405;0
1,7049E+12;1,70499E+12;1,70495E+12;1,7049E+12;0,001291811;0,00156419;0,001291811;0,001538405;2966,64
1,70482E+12;1,7049E+12;1,70482E+12;1,70487E+12;0,001331362;0,001331362;0,001291811;0,001291811;50,7
1,70473E+12;1,70482E+12;1,70473E+12;1,70478E+12;0,001356237;0,001356237;0,001327957;0,001331362;30,05
1,70464E+12;1,70473E+12;1,70464E+12;1,70471E+12;0,001476237;0,001476237;0,001343186;0,001356237;2462,42
1,70456E+12;1,70464E+12;1,70463E+12;1,70462E+12;0,001474639;0,001476237;0,001463746;0,001476237;12,51
